City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,west island,-12.1568,96.8225,24.99,83,100,7.72,CC,1694969409
148,yanykurgan,43.915,67.2481,20.96,25,88,5.03,KZ,1694969409
149,puyang chengguanzhen,35.7028,115.0053,24.06,71,93,4.01,CN,1694969410
150,hantsavichy,52.758,26.43,16.91,70,0,2.89,BY,1694969411
151,kerikeri,-35.2268,173.9474,10.51,91,6,0.89,NZ,1694969135
152,queenstown,-31.8976,26.8753,10.68,38,0,2.42,ZA,1694969411
153,tobelo,1.7284,128.0095,25.87,84,100,2.69,ID,1694969412
154,fortuna,40.5982,-124.1573,14.19,98,100,0.0,US,1694969412
155,maragogi,-9.0122,-35.2225,27.01,67,17,5.77,BR,1694969180
156,christchurch,-43.5333,172.6333,12.17,53,1,5.66,NZ,1694969395
157,argo,37.6333,22.7333,26.55,49,60,2.2,GR,1694969413
158,greenville,35.6127,-77.3663,28.41,51,0,2.57,US,1694969413
159,kangding,30.0513,101.9603,15.6,98,98,1.11,CN,1694969414
160,sinabang,2.4803,96.3801,26.16,82,100,1.34,ID,1694969414
161,fale old settlement,-9.3852,-171.2468,28.13,80,81,7.47,TK,1694969414
162,kayangel,8.0823,134.7173,27.79,75,97,2.26,PW,1694969415
163,falkenberg,56.9055,12.4912,21.08,81,58,1.98,SE,1694969415
164,east london,-33.0153,27.9116,16.47,63,2,8.1,ZA,1694969416
165,diu,20.7141,70.9822,27.33,85,100,5.61,IN,1694969416
166,thompson,55.7435,-97.8558,14.09,82,75,4.12,CA,1694969416
167,zhanibek,49.4167,46.85,19.73,48,100,3.21,KZ,1694969417
168,smithers,54.7804,-127.1743,10.18,71,75,2.06,CA,1694969417
169,lata,40.1629,-8.3327,19.4,84,99,3.6,PT,1694969162
170,russkaya polyana,49.417,31.9201,17.59,49,0,3.67,UA,1694969418
171,ulsteinvik,62.3432,5.8487,14.5,72,79,0.45,NO,1694969418
172,port alfred,-33.5906,26.891,13.99,74,10,1.34,ZA,1694969173
173,kone,-21.0595,164.8658,18.73,92,10,2.12,NC,1694969419
174,tralee,52.2704,-9.7026,16.14,94,100,2.06,IE,1694969354
175,simanggang,1.2472,111.4528,25.99,94,98,0.0,MY,1694969420
176,mont-dore,-22.2833,166.5833,21.11,99,80,3.85,NC,1694969417
177,belomorsk,64.5232,34.7668,11.59,91,100,3.31,RU,1694969420
178,afaahiti,-17.75,-149.2833,22.93,88,52,5.8,PF,1694969421
179,fisterra,42.9049,-9.2629,19.45,84,98,11.68,ES,1694969421
180,norton shores,43.1689,-86.2639,18.29,81,75,4.12,US,1694969421
181,vilyuchinsk,52.9306,158.4028,9.15,85,29,4.94,RU,1694969422
182,hailar,49.2,119.7,10.84,80,97,1.68,CN,1694969422
183,albacete,38.8333,-2.0,19.45,73,40,6.17,ES,1694969162
184,nadi,-17.8,177.4167,24.0,94,20,1.54,FJ,1694969423
185,arkhangel'sk,64.5401,40.5433,11.61,85,100,4.41,RU,1694969423
186,gamba,-2.65,10.0,24.34,82,94,3.72,GA,1694969424
187,xilin hot,43.9667,116.0333,11.67,82,59,2.88,CN,1694969424
188,pandan,14.0453,124.1694,27.29,83,82,2.15,PH,1694969424
189,port blair,11.6667,92.75,26.02,90,100,6.86,IN,1694969425
190,al qanatir al khayriyah,30.1933,31.137,32.45,35,0,6.85,EG,1694969425
191,luanda,-8.8368,13.2343,24.0,78,20,4.63,AO,1694969195
192,boali,4.8005,18.1275,21.87,98,99,1.14,CF,1694969426
193,loudun,47.0079,0.083,19.1,84,100,5.08,FR,1694969426
194,tucuma,-0.1833,-50.05,33.12,49,12,5.2,BR,1694969427
195,al 'aziziyah,32.9058,45.0616,34.69,14,0,3.83,IQ,1694969427
196,mount pearl,47.5166,-52.7813,25.19,81,75,7.2,CA,1694969428
197,chu,43.5983,73.7614,19.67,29,34,6.47,KZ,1694969428
198,muroto-misakicho,33.2833,134.15,26.81,80,3,1.46,JP,1694969187
